Model,Gamma,Lamb,s0h,H,M,k,Sb,Added,CV2D,Strain
Pow,0,1.8,0,0,23,12.2203598022,0.7285714286,1.0763260476,0.0241673015,Str6
Pow,0,1.8,0,0,23,12.2203598022,0.8357142857,1.023695859,0.0254510647,Str6
Pow,0,1.8,0,0,23,12.2203598022,0.9428571429,0.9754710111,0.0266403492,Str6
Pow,0,1.8,0,0,23,12.2203598022,1.05,0.9312066415,0.0277363564,Str6
Pow,0,1.8,0,0,23,12.2203598022,1.1571428571,0.8905031543,0.0287420338,Str6
Pow,0,1.8,0,0,23,12.2203598022,1.2642857143,0.8530026103,0.0296615207,Str6
Pow,0,1.8,0,0,23,12.2203598022,1.3714285714,0.8183851606,0.0304996947,Str6
Pow,0,1.8,0,0,23,12.2203598022,1.4785714286,0.7863655271,0.0312618199,Str6
Pow,0,1.8,0,0,23,12.2203598022,1.5857142857,0.7566895882,0.0319532853,Str6
Pow,0,1.8,0,0,23,12.2203598022,1.6928571429,0.729131135,0.0325794188,Str6
Pow,0,1.8,0,0,23,12.2203598022,1.8,0.7034888444,0.0331453609,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,0.3,1.4220394914,0.0196483788,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,0.4071428571,1.3254670797,0.0220414825,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,0.5142857143,1.2367570677,0.0242541374,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,0.6214285714,1.1572927333,0.0260767872,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,0.7285714286,1.0875773933,0.0273868407,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,0.8357142857,1.0273284588,0.0281680589,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,0.9428571429,0.9757363537,0.0284841838,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,1.05,0.9317392158,0.0284366574,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,1.1571428571,0.8942281286,0.0281305552,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,1.2642857143,0.8621671826,0.0276560982,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,1.3714285714,0.8346473219,0.0270826751,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,1.4785714286,0.8108993322,0.026459836,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,1.5857142857,0.7902857805,0.0258210238,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,1.6928571429,0.7722843031,0.0251877035,Str6
Deg,1.5942385153,1,0,0,69,89.153049469,1.8,0.7564689354,0.024572915,Str6
Comm,0,1,1.5,0.9,44,62.7969284058,0.3,1.2706331392,0.0125100597,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,0.4071428571,1.2082191319,0.013483741,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,0.5142857143,1.1540543284,0.0143532022,Str5
Comm,0,1,1.5,0.9,44,62.7969284058,0.6214285714,1.1067538562,0.0151227214,Str5
